"frame_num","actives_count_top5","actives_count_top1","actives_count_top05"
"138600","32","2",\N
"139200","32","5","2"
"139400","15","3","3"
"139800","37","4","2"
"1400","75","25","6"
"140000","43","1",\N
"140200","32","3","1"
"140600","25","5","1"
"140800","52","7","2"
"141000","21","4","1"
"141200","40","3","2"
"141400","21","2","2"
"141600","45","2","1"
"141800","16","7","6"
"14200","51","5","3"
"142200","45","3","1"
"142600","24","2",\N
"142800","18","3","1"
"143000","37","8","3"
"143200","35","2","1"
"143400","36","5","3"
"143600","43","17",\N
"143800","33","2","1"
"144000","35","5","2"
"144200","98","14","8"
"144400","37","3","2"
"144800","48","4","1"
"145000","35","1",\N
"145200","13","1",\N
"145400","30","3","3"
"145600","23","3","1"
"145800","44","6","1"
"14600","44","3","1"
"146000","37","2","1"
"146200","26","3","2"
"146400","52","1","1"
"146800","44","1","1"
"147000","45","17",\N
"147400","51","3","2"
"147600","48","7","3"
"147800","40","5","3"
"148000","39","4","2"
"148400","39","2","1"
"148600","57","2","2"
"148800","36","3","2"
"149000","21","1","1"
"149200","47","9","6"
"149400","52","3","2"
"149800","51","7","4"
"150600","45","2","1"
"150800","12","5",\N
"151000","51","12","4"
"151200","73","4","1"
"151600","22","10","3"
"151800","34","2",\N
"152000","23",\N,\N
"152400","46","2",\N
"152600","31","2","1"
"153200","66","14","11"
"153400","32","3","1"
"153600","19","2",\N
"153800","64","19","9"
"15400","32","1","1"
"154000","52","25","13"
"154200","81","1","1"
"154400","15","2","1"
"154600","39","8","3"
"155000","56","1",\N
"155200","30","1",\N
"155400","113","28","2"
"155800","31",\N,\N
"15600","41","3",\N
"156000","46","2","1"
"156200","34","3","2"
"156600","77","19",\N
"156800","35","4","3"
"157200","65","28","21"
"157400","34","1","1"
"157600","39","3","1"
"157800","39","2","1"
"15800","62","21","17"
"158200","68","12","1"
"158600","36","2","1"
"158800","45","8",\N
"159200","95","26","18"
"159400","39","2","1"
"1600","45","3","1"
"16000","37","19","1"
"160000","123","15","3"
"160200","71","13","12"
"160400","41","4","2"
"160600","121","32","11"
"160800","65","4","1"
"161000","77","2","2"
"161200","46","3","2"
"161600","59","7","3"
"161800","86","6","3"
"16200","64","2","1"
"162000","59","13","8"
"162200","83","3",\N
"162400","63","11","4"
"162800","19","4","1"
"163200","40","3","2"
"163600","37","3","2"
"163800","73","20","18"
"16400","37","2","2"
"164200","54","2","1"
"164400","33","3","2"
"164600","44","26","18"
"164800","34","19","3"
"165000","55","3","1"
"165200","34","3","3"
"165400","35","5","4"
"165800","33","3",\N
"16600","60","1","1"
"166000","41",\N,\N
"166200","53","5","4"
"166400","24","5","4"
"166600","42","7","4"
"166800","43","8","2"
"167400","31","3",\N
"167800","48","22","3"
"16800","52","4","2"
"168400","56","6","4"
"168800","48","2",\N
"169000","36","4","3"
"169600","31","2",\N
"169800","37","4","2"
"17000","37","2","1"
"170000","62","5","2"
"170200","23","16",\N
"170400","28","2",\N
"170600","49","3","2"
"170800","74","3","2"
"171000","57","5","3"
"171200","50","8","5"
"171400","42","2","1"
"171600","36","3","2"
"171800","35","4","2"
"17200","41","3","2"
"172000","38","19","17"
"172400","60","23","3"
"172600","44","3","3"
"172800","47","4",\N
"173400","59","17","17"
"173800","48","7","6"
"17400","48","3","1"
"174400","36","1","1"
"174600","34","3","3"
"175600","43","3","3"
"175800","34","4","2"
"17600","40","1","1"
"176000","47","7","4"
"176200","64","15","11"
"176400","57","5","1"
"176600","49","5","4"
"177000","48","6","6"
"177200","39","2","1"
"178200","91","4",\N
"178400","42","8","2"
"178800","35","3","3"
"179000","52","8","5"
"179400","54","7","2"
"179600","40","3",\N
"1800","84","20","3"
"18000","27","1",\N
"180000","46","3","1"
"180200","40","3","1"
"180600","40","4","3"
"180800","28","17","1"
"181000","25","6","4"
"181200","50","7","2"
"181400","43","2","1"
"181600","56","7","2"
"181800","35","1",\N
"18200","44",\N,\N
"182400","14","6","3"
"182600","33","3","2"
"182800","102","22","5"
"183200","35","2","2"
"183600","42","3","2"
"18400","44","4","3"
"184200","33","18","1"
"184400","40","6","4"
"184600","105","10","2"
"184800","40","3","2"
"185200","35","3","2"
"185400","44",\N,\N
"185600","36","5","5"
"185800","52","3","2"
"186200","40","7","2"
"186400","50","6","5"
"186600","98","1","1"
"186800","43","2","1"
"187400","24","3","1"
"187600","29","3","1"
"18800","37","4","2"
"188000","38","5","3"
"188200","38","7","3"
"188400","38","5","5"
"188600","55","6","2"
"188800","47","2","1"
"189000","15","6","6"
"189200","34","9","1"
"189400","18","6","1"
"189600","22","5","5"
"189800","26","9","5"
"190000","52","12","5"
"190200","16","1","1"
"190600","39","18","1"
"190800","34","8","2"
"191200","23","3","2"
"191600","25","5",\N
"191800","18","5","3"
"19200","44","2",\N
"192400","25","6","3"
"192600","68","23",\N
"192800","33","3","3"
"193000","47","5","2"
"193200","22","6","4"
"193400","40","4","2"
"193600","28","1","1"
"194000","30","5","2"
"194200","40","4",\N
"194400","39","11","2"
"194600","38","7","1"
"194800","29","2","1"
"195200","36","5","2"
"195400","38","11","5"
"195600","33","5","5"
"195800","24","13","4"
"19600","54","16","16"
"196200","90","6",\N
"196400","59","1","1"
"196600","21","1",\N
"196800","31","4","3"
"197000","17","5","1"
"197400","83","6","3"
"198000","88","23","13"
"198400","46","8","1"
"198600","38","3","2"
"198800","72","9","3"
"199000","38","7","3"
"199200","42","5","3"
"199400","30","3","1"
"199600","31","2","1"
"199800","35","9","2"
"200","57","9","5"
"2000","57","19","18"
"20000","58","4","1"
"200200","56","1",\N
"200400","37","3",\N
"200600","34","2","2"
"200800","60","20","19"
"201400","16","3","1"
"201600","49","7","2"
"20200","43","4","3"
"202000","35","2","1"
"202200","54","20","1"
"202600","42","8","3"
"202800","46","4","3"
"203000","33","5","4"
"203400","41","5","4"
"203600","46","4","2"
"203800","56","6","1"
"204000","66","3","1"
"204200","46","5","2"
"204800","50","2",\N
"205000","59","18",\N
"205200","47","3","2"
"205400","38","2","2"
"205600","56","4","3"
"205800","49","5","3"
"20600","101","31","18"
"206000","41","3","3"
"206200","46","1","1"
"206400","33","3","2"
"206600","14","1","1"
"206800","39","4","2"
"207000","118","4","2"
"207200","46","5","1"
"207400","44","3","2"
"207600","34","4","3"
"207800","37","3","2"
"20800","57","3","1"
"208000","43","3","2"
"208800","45","3","2"
"209000","37","18","1"
"209600","42","3","3"
"209800","30","9","3"
"210000","10","1","1"
"210200","46","2","2"
"210600","38","1",\N
"210800","35","6","3"
"211000","46",\N,\N
"211200","34","5","2"
"211400","38","4","2"
"211600","44",\N,\N
"211800","34","1",\N
"21200","33","1","1"
"212200","25",\N,\N
"212400","78","26","8"
"212600","62","3",\N
"212800","40","3","1"
"213000","31","3","2"
"213400","31","3","1"
"21400","37","4","1"
"214000","10","5","2"
"214200","35","7","2"
"214400","53","5","1"
"214600","38","4","3"
"214800","54","5","3"
"215000","54","1","1"
"215400","43","15","8"
"215600","27","8","3"
"21600","38","1",\N
"216000","19","5","3"
"216200","30","11","7"
"216400","67","10","8"
"216600","37",\N,\N
"216800","79","2",\N
"217000","61","5","5"
"217400","56","14","7"
"217600","22","5","2"
"217800","16","5","3"
"218000","45","1",\N
"218400","31","4","1"
"218600","22","8",\N
"218800","13","1",\N
"219000","24","1","1"
"219200","53","18","17"
"219400","37","1",\N
"219600","23","3","2"
"219800","95","7","2"
"22000","51","1","1"
"220000","42","6","5"
"220200","86","16","7"
"220400","47","6","2"
"220600","43","2",\N
"220800","50","21","12"
"221200","73","3","3"
"221400","78","9","4"
"221600","53","4","3"
"22200","42","4","3"
"222200","43","1","1"
"222400","59","8","3"
"222600","34","12","7"
"222800","42","3","1"
"223000","56","13","4"
"223200","29","2","2"
"223400","81","5",\N
"223800","78","11","10"
"224000","32","5",\N
"224200","126","23","6"
"224400","69","6","2"
"224600","22","5","5"
"224800","42","4","4"
"225200","73","27","9"
"225400","71","1","1"
"225600","35","2",\N
"225800","12","3","1"
"22600","49","1","1"
"226000","51","7","3"
"226200","71","1","1"
"226400","109","40","24"
"226600","48","1",\N
"226800","43","8","4"
"227000","36","6","3"
"227200","95","46","33"
"227600","51","9","1"
"227800","73","13","2"
"22800","58","21",\N
"228000","28","6","1"
"228200","22","3","2"
"228400","18","7","5"
"228600","68","8","3"
"228800","25","2",\N
"229000","27","8","4"
"229200","15","3","1"
"229400","27","8","3"
"229600","35","4","1"
"229800","27","1","1"
"23000","30","3","2"
"230000","26","2","1"
"230200","24","3","2"
"230400","35","7","2"
"230600","23","2",\N
"230800","48","10","1"
"231000","44","2","2"
"231400","37","7","2"
"231600","21","6","3"
"231800","56","21","13"
"232000","9","1","1"
"232200","26","5","2"
"232400","25","5",\N
"233400","79","18","4"
"233600","15","4","4"
"233800","46","2",\N
"23400","51","2",\N
"234000","18","2","2"
"234200","25","2","1"
"234400","26",\N,\N
"234600","25","4","3"
"234800","21","5","3"
"235400","49","10","7"
"235600","67","24","21"
"235800","16","7","5"
"23600","71","1","1"
"236200","25","6","4"
"236400","25","3","3"
"236600","32","3","1"
"236800","24","4","2"
"237000","14","7","1"
"237200","63","10","2"
"237400","52","1","1"
"237600","46",\N,\N
"237800","30","5","4"
"23800","36","16",\N
"238000","35","10","6"
"238800","53","1","1"
"239200","30","8",\N
"239800","119","20","12"
"24000","35","2","1"
"240000","25","2",\N
"240400","18",\N,\N
"240600","67","6","2"
"240800","97","37","26"
"241000","66",\N,\N
"241200","58","4",\N
"241800","30",\N,\N
"24200","56","2",\N
"242000","102","24","14"
"242200","130","78","46"
"242400","166","50","24"
"242600","166","24","10"
"242800","70","6","1"
"243000","107","29","10"
"243200","95","6",\N
"243400","78","13","7"
"243600","119","10","4"
"243800","85","20","8"
"24400","61","9","5"
"244000","110","50","22"
"244200","138","46","20"
"244400","21","3",\N
"244600","26",\N,\N
"244800","72","2","2"
"245000","108","27","8"
"245200","92","31","8"
"245400","99","23","5"
"245600","91","2","2"
"24600","33","1",\N
"246000","53","12","3"
"246200","91","14","4"
"246400","94","18","8"
"246800","70","14","5"
"247000","114","42","22"
"247200","132","43","29"
"247400","74","20","12"
"247600","98","17","4"
"247800","81","15","5"
"248000","71","38","22"
"248200","38","5","2"
"248400","62","9","4"
"248600","84","13","9"
"249000","26","8","5"
"249400","53","5",\N
"249600","36","7","4"
"25000","48","3","1"
"250400","95","15","2"
"250600","97","15","4"
"251200","42","3",\N
"251400","71","12","8"
"251600","69","16","8"
"251800","36",\N,\N
"252000","30","15",\N
"252200","43","8",\N
"252400","83","1","1"
"252600","41","9",\N
"253000","69","5",\N
"253200","57","11","3"
"253400","85","14","7"
"253600","78","10","3"
"253800","34","7","5"
"25400","35","9","9"
"254000","57","15","10"
"254600","61","24","8"
"254800","109","18","14"
"255000","115","20","1"
"255200","137","41","20"
"255600","111","21","12"
"256000","30","5",\N
"256200","58","6","2"
"256400","45",\N,\N
"256600","90","16","10"
"256800","56","1",\N
"257000","91","16","7"
"257200","127","21","13"
"257400","112","34","21"
"257600","101","19","8"
"257800","37","6","1"
"25800","48","2","2"
"258200","64","25","22"
"258400","73","16","7"
"258600","100","25","9"
"259000","79","5","2"
"259200","55","20","18"
"259400","100","20","2"
"259800","75","7","2"
"2600","55","18","2"
"26000","32","3","2"
"260200","94","31","13"
"260400","108","10","4"
"260600","89","14","8"
"260800","94","9","5"
"261000","122","15","3"
"261200","41","5","2"
"261400","97","27","17"
"261600","59","6","5"
"261800","118","40","19"
"26200","57","19","3"
"262600","33","5",\N
"262800","56","12","8"
"263000","107","29","4"
"263400","34","2","2"
"263600","160","43","27"
"263800","84","26","9"
"26400","73","3","2"
"264000","76","2","2"
"264400","69","7","4"
"264600","47","6","4"
"264800","98","8","3"
"265000","28",\N,\N
"265400","47","4","4"
"265600","36","14","11"
"265800","78","20","10"
"266000","51","2","1"
"266400","51","13","5"
"266600","97","20","7"
"266800","35","2","1"
"267000","108","33","7"
"267200","136","60","37"
"267400","80","12","5"
"267600","78","3",\N
"267800","146","43","23"
"26800","48","17","1"
"268000","61","18","9"
"268200","72","10",\N
"268400","80","20","7"
"268600","74","10","5"
"269000","20","2",\N
"269200","69","10","5"
"269400","94","6","1"
"269600","84","6","1"
"269800","102","15","9"
"270000","115","10",\N
"270200","85","11","3"
"270400","21",\N,\N
"270600","57","1","1"
"270800","58","17","12"
"271000","118","45","22"
"271200","110","24","17"
"271400","78","30","15"
"271600","67","5","2"
"271800","108","25","13"
"27200","32","21","1"
"272000","143","27","14"
"272400","41","3",\N
"272600","84","14","9"
"272800","116","7","5"
"273000","89","15","8"
"273400","98","17","2"
"273600","15",\N,\N
"274200","91","32","18"
"274400","82","13","9"
"274600","87","14","7"
"274800","49","7",\N
"275200","32",\N,\N
"275400","101","9","3"
"275600","31","2","2"
"275800","122","47","28"
"27600","66","5","3"
"276000","82","6","3"
"276800","85","8","4"
"277000","83","6","4"
"277200","54","21","18"
"277400","68","9","1"
"277600","32","5",\N
"277800","102","20","9"
"27800","31","17","1"
"278000","70","5","5"
"278200","49","7",\N
"278400","77","13","3"
"278600","74","9","4"
"279000","28","2","2"
"279200","95","16","2"
"279400","70","14","2"
"279600","104","14","7"
"279800","148","41","23"
"2800","37","19","1"
"280000","56","6","3"
"280200","70","11","8"
"280600","83","3","3"
"280800","74","14",\N
"281000","82","14","5"
"281200","104","12","5"
"281600","51","11","6"
"281800","62","3",\N
"28200","36","3","1"
"282000","80","9",\N
"282200","50","2",\N
"282400","35","4",\N
"282600","47","6",\N
"282800","67","3",\N
"283000","59","6",\N
"283200","111","14","12"
"283400","21","2",\N
"283800","41","7","3"
"284000","180","30","19"
"284200","59","11","4"
"284600","94","22","10"
"284800","68","6","2"
"285000","78","17","5"
"285200","84","6","3"
"285400","95","14","6"
"285600","98","7","4"
"285800","80","7","1"
"28600","42","16",\N
"286000","73","8","1"
"286400","113","28","19"
"287000","59","6","6"
"287200","42","9","2"
"287600","43","2",\N
"287800","137","30","12"
"28800","47","2","1"
"288000","97","8","2"
"288200","75","19","12"
"288400","47","3","2"
"288600","130","31","11"
"288800","148","43","17"
"289000","98","12","4"
"289200","103","19","3"
"289400","49","4","2"
"289600","72","17","10"
"289800","77","7","2"
"29000","50","18",\N
"290000","112","21","7"
"290200","85","14","2"
"290400","90","6","3"
"290600","37","3","2"
"290800","102","19","8"
"291000","36","4","4"
"291200","85","12","10"
"291400","86","5","4"
"291600","72","2","1"
"291800","68","22","3"
"29200","33","3","2"
"292000","43","7","6"
"292200","95","28","13"
"292400","109","13","8"
"292800","123","17","12"
"293000","141","15","10"
"293200","120","13","5"
"293600","75","14","2"
"293800","49","6","2"
"294200","106","23","7"
"294600","68","6","4"
"294800","115","15","7"
"295000","88","7","4"
"295600","58","10","2"
"295800","88","30","16"
"29600","44","1",\N
"296200","56","4","3"
"296400","106","22","8"
"296600","64","5","5"
"296800","153","13","5"
"297000","34","3","2"
"297200","78","17","9"
"297600","43","11","4"
"298000","51","5","1"
"298200","18",\N,\N
"298400","65","8","6"
"298600","74","16","7"
"298800","128","28","14"
"299200","83","23","12"
"299400","54","7","5"
"299600","35","3","3"
"299800","30","3",\N
"3000","57","1","1"
"300200","44","10",\N
"300600","56","3","1"
"301000","85","18","15"
"301200","52","9","2"
"301600","20","2",\N
"30200","36",\N,\N
"302000","43","12","4"
"302400","32","6","3"
"302600","63","7","4"
"302800","59","10","3"
"303000","92","12","8"
"303200","46","7",\N
"303600","49","5",\N
"303800","73","9","4"
"30400","37","3","2"
"304200","59","7","5"
"304400","42","7","6"
"304600","59","12","3"
"304800","61","7","4"
"305000","47","10","5"
"305200","107","27","17"
"305400","102","35","25"
"305800","74","13","4"
"30600","90","12","3"
"306400","62","9","2"
"306800","80","12","5"
"307000","32","3","1"
"307400","126","19","5"
"307800","95","27","11"
"308200","28","2","2"
"308400","72","4","4"
"308600","65","8",\N
"308800","31","5","2"
"309000","111","17","3"
"309200","132","47","27"
"309600","34",\N,\N
"309800","41","11","8"
"310000","77","6",\N
"310200","44","10",\N
"310400","35","7","3"
"310600","96","21","6"
"310800","21","4","2"
"311000","28","4",\N
"311200","28","8","2"
"311400","146","43","14"
"312000","52","4","3"
"312200","98","28","17"
"312400","153","43","17"
"312600","47","11","3"
"313000","75","14","7"
"313200","60","13","4"
"313400","51","2",\N
"313800","66","12","8"
"314200","98","17","7"
"314400","68","8","4"
"314600","59","6",\N
"314800","24",\N,\N
"315200","56","2",\N
"315400","36","13",\N
"315600","89","9","5"
"315800","119","23","16"
"31600","39","1",\N
"316200","145","24","6"
"316400","43","5","4"
"316800","77",\N,\N
"317200","22","2",\N
"317400","52","3",\N
"317800","27",\N,\N
"31800","41","4","2"
"318000","128","27","10"
"318400","107","20","8"
"318600","120","13","2"
"318800","66","5","2"
"319000","71","12","3"
"319400","54","4","2"
"319600","44",\N,\N
"32000","48","2","1"
"320000","99","14","2"
"320200","54","6","6"
"320600","112","13","5"
"320800","91","16","2"
"321000","42","4",\N
"321200","69","6",\N
"321400","36","4","1"
"321600","95","14","4"
"32200","49","4","3"
"322000","74","12","6"
"322200","76","7","2"
"322400","68","6","1"
"322600","65","8","5"
"322800","125","17","9"
"323000","58","16","8"
"323200","78","8","2"
"323400","99","14","5"
"323800","13",\N,\N
"324200","49","7","2"
"324600","66","16","2"
"325000","72","16","3"
"325200","67","16","5"
"325400","72","13","6"
"325600","53","10","4"
"32600","27","1","1"
"326000","24","2","2"
"326800","59","9","4"
"327000","28","3","1"
"327200","51","7","6"
"327400","28",\N,\N
"327800","39","13","7"
"32800","44","19","2"
"328000","43","4",\N
"328400","73","17","10"
"329000","76","7","4"
"329600","39",\N,\N
"329800","35","4",\N
"33000","43","1","1"
"330000","88","6","2"
"330200","40","7","5"
"330400","73","6","2"
"330600","48","4","2"
"331200","29",\N,\N
"331400","45","16",\N
"331600","92","21","9"
"331800","62","6","5"
"33200","53","2","2"
"332200","75","18","1"
"332800","128","25","8"
"333200","89","19","11"
"333400","31","2",\N
"33400","37","3","1"
"334000","52","12","8"
"334400","36",\N,\N
"335000","31","4","2"
"335200","57","9","5"
"335400","48","3",\N
"335600","32","1",\N
"335800","108","27","6"
"33600","46","16",\N
"336000","82","4",\N
"336200","74","10",\N
"336600","66","12","7"
"336800","22","5","3"
"337000","58","24","8"
"337200","35","8",\N
"337400","31","2",\N
"33800","27",\N,\N
"338000","57","13","2"
"338200","50","18","7"
"338400","31","3","2"
"338800","131","25","11"
"339000","50","1",\N
"3400","41","1","1"
"34000","45","1","1"
"340000","53","15","10"
"340200","110","20","6"
"340400","14","1","1"
"340600","121","31","24"
"340800","60","9","4"
"341200","71","17","4"
"341600","57","7",\N
"341800","79","3",\N
"34200","38","21","19"
"342000","51","10","8"
"342200","25","2",\N
"342800","118","17","6"
"343000","69","1",\N
"343200","53","2",\N
"343400","95","16","6"
"343800","47","4","2"
"344000","74","7","3"
"344600","49","5",\N
"344800","66","12","3"
"345000","109","18","10"
"345200","40","10",\N
"345400","29","8","3"
"345600","136","34","20"
"345800","79","13","10"
"34600","50","1",\N
"346000","60","14","3"
"346200","135","41","22"
"346800","51","9",\N
"347000","85","11","2"
"347200","96","12","4"
"347400","98","21","11"
"347600","64","7","1"
"347800","47","5",\N
"34800","54","7","5"
"348000","46","6","2"
"348200","154","41","23"
"348600","79","8","4"
"349200","71","9","5"
"349400","93","6",\N
"349600","36","5","2"
"349800","85","24","13"
"35000","32","2","2"
"350000","30","1",\N
"350200","66","7","4"
"350400","30","2",\N
"350600","147","63","35"
"350800","47","1",\N
"351000","59","2",\N
"351200","47","7","1"
"351400","111","26","14"
"351600","123","27","15"
"351800","84","16","2"
"35200","43","8","4"
"352000","67","4",\N
"352200","58","19","12"
"352400","103","42","28"
"352600","63","12",\N
"352800","78","4","2"
"353200","58","2","2"
"353400","68","7","4"
"353600","36","3","2"
"353800","32",\N,\N
"354000","55","3","1"
"354200","41","4",\N
"354400","37","4",\N
"354600","56","7",\N
"355000","55","8",\N
"355400","101","14","9"
"355800","83","18","2"
"356000","53","2","1"
"356200","99","15","3"
"356400","55",\N,\N
"357000","32",\N,\N
"357200","91","18","8"
"357400","87","31","19"
"357800","51","6","6"
"35800","43","3","2"
"358000","73","11","5"
"358200","108","35","17"
"358400","69","12","6"
"358800","14","4","2"
"359200","97","12","4"
"359400","73","13","7"
"359600","65","15","8"
"359800","21",\N,\N
"36000","25",\N,\N
"360000","41","3",\N
"360200","31","3",\N
"360400","37","3",\N
"360800","24",\N,\N
"361000","48","4","4"
"361200","95","16","10"
"362000","70","6",\N
"362200","12","2",\N
"362400","22",\N,\N
"362800","54","2",\N
"363000","122","33","17"
"363200","131","35","15"
"363400","41","6","5"
"363600","55","11","2"
"363800","60","14","10"
"364000","36","2",\N
"364200","114","26","12"
"364400","31","4","2"
"364600","38","1",\N
"364800","54","2",\N
"365000","25","5","1"
"365200","54","13","6"
"365600","30",\N,\N
"365800","103","10","3"
"366200","31","6","2"
"366400","100","12","10"
"366600","62","16","4"
"367400","115","25","11"
"367600","113","20","18"
"367800","106","22","10"
"36800","57","1",\N
"368000","64","12","10"
"368200","107","27","12"
"368400","26","2","2"
"368800","85","18","2"
"369000","33","4",\N
"369200","83","33","20"
"369400","74","13","4"
"370000","42","1",\N
"370200","63","14","8"
"370600","157","35","23"
"370800","132","35","24"
"371000","72","9","3"
"371600","70","11",\N
"371800","47","9","2"
"37200","56","20","1"
"372000","70","6",\N
"372200","69","7","3"
"372400","79","18","10"
"372600","119","34","9"
"372800","107","20","6"
"373000","94","22","11"
"373200","123","22","10"
"373600","24","3","2"
"373800","130","17","6"
"374000","69","15","7"
"374200","97","16","8"
"374400","68","4","2"
"374600","97","13","3"
"374800","44","7","5"
"375000","123","27","16"
"375400","40",\N,\N
"375600","76","9","2"
"375800","51","4",\N
"376000","18","3","1"
"376200","14",\N,\N
"376600","72","21","4"
"376800","53","4",\N
"377200","103","28","22"
"377600","85","6",\N
"37800","52","3","1"
"378000","26","4",\N
"378200","74","8","3"
"378600","66","11","1"
"378800","24",\N,\N
"379000","62","5","1"
"379200","98","11","3"
"379400","35","2",\N
"379600","80","12","3"
"379800","72",\N,\N
"3800","38",\N,\N
"380000","42","7","3"
"380200","23",\N,\N
"380400","76","16","10"
"380600","91","11","5"
"380800","67","16","2"
"381000","32",\N,\N
"381400","41",\N,\N
"381600","57","4","4"
"381800","49","2","2"
"38200","24",\N,\N
"382000","38","3",\N
"382200","76","5","3"
"382600","92","9",\N
"382800","57","1",\N
"383000","91","9","2"
"383200","47","4","2"
"383400","80","18","4"
"383600","162","33","11"
"383800","42","4",\N
"384000","31","10","8"
"384600","56","15",\N
"384800","117","19","5"
"385000","72","14","2"
"385200","55","6","4"
"385400","66","1",\N
"385600","53","3",\N
"385800","68","17","8"
"38600","51","5","4"
"386000","99","8","5"
"386200","134","32","17"
"386400","62","18","16"
"386800","23","4",\N
"387000","49","3","2"
"387400","78","10","2"
"387600","61","4",\N
"38800","44","3","3"
"388400","39","2","2"
"388800","22",\N,\N
"389200","43","5","1"
"389800","27",\N,\N
"390000","71","18","8"
"390200","21",\N,\N
"390400","48","4",\N
"390600","36","1",\N
"390800","30",\N,\N
"391000","80","11","5"
"391200","47","4",\N
"391400","4",\N,\N
"391600","35",\N,\N
"391800","61","17","8"
